epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,80087.7,1.54333,0.75464,0.00658,0.80059,0.54121,0.62836,0.33089,1.73145,0.86765,0.0058,0.00133695,0.00133695,0.00133695
79,81052.4,1.54459,0.75212,0.00656,0.80024,0.54072,0.62791,0.33094,1.73139,0.86752,0.0058,0.00123596,0.00123596,0.00123596
80,82056.6,1.53748,0.75391,0.00648,0.80248,0.53927,0.62788,0.33099,1.7309,0.86724,0.00579,0.00113873,0.00113873,0.00113873
81,83006.1,1.53453,0.74534,0.00647,0.80103,0.53984,0.62768,0.33093,1.73101,0.86735,0.0058,0.00104537,0.00104537,0.00104537
82,83909.5,1.53441,0.75028,0.00647,0.80343,0.53869,0.62738,0.33106,1.7308,0.8672,0.0058,0.000955951,0.000955951,0.000955951
83,84709.6,1.52852,0.74971,0.0065,0.80232,0.5391,0.62739,0.33102,1.7304,0.86774,0.00579,0.000870577,0.000870577,0.000870577
84,85603.4,1.53012,0.74946,0.00648,0.80475,0.53806,0.62747,0.33094,1.73064,0.86748,0.0058,0.000789327,0.000789327,0.000789327
85,86504.8,1.52554,0.74227,0.00645,0.80424,0.53759,0.62698,0.33095,1.73053,0.86775,0.00579,0.000712282,0.000712282,0.000712282
86,87552.6,1.52172,0.74077,0.00637,0.80324,0.53847,0.62719,0.33109,1.73033,0.86802,0.00579,0.000639518,0.000639518,0.000639518
87,88661,1.52219,0.74146,0.00636,0.80369,0.53847,0.62709,0.33117,1.72985,0.86763,0.00579,0.000571106,0.000571106,0.000571106
88,89614.6,1.51917,0.73762,0.00635,0.80376,0.53819,0.62711,0.33116,1.73005,0.86719,0.00579,0.000507115,0.000507115,0.000507115
89,90505.3,1.51113,0.73563,0.00633,0.80415,0.53837,0.62715,0.33112,1.73037,0.86655,0.0058,0.000447606,0.000447606,0.000447606
90,91443.4,1.51019,0.7313,0.00632,0.80483,0.53812,0.62736,0.33118,1.73055,0.86643,0.0058,0.00039264,0.00039264,0.00039264
91,92878.4,1.51214,0.7341,0.00631,0.80497,0.53842,0.62745,0.33113,1.73098,0.86632,0.00581,0.00034227,0.00034227,0.00034227
92,93764.7,1.50301,0.72986,0.00625,0.80478,0.53848,0.62733,0.33117,1.73076,0.86672,0.0058,0.000296546,0.000296546,0.000296546
93,94638.4,1.50998,0.73327,0.00623,0.80457,0.53849,0.62752,0.33136,1.7306,0.86599,0.0058,0.000255513,0.000255513,0.000255513
94,95543.8,1.50851,0.72944,0.00629,0.80437,0.53853,0.62754,0.33155,1.72991,0.86565,0.0058,0.000219212,0.000219212,0.000219212
95,96412.2,1.51185,0.73026,0.00625,0.80387,0.53888,0.62754,0.33155,1.72971,0.86584,0.0058,0.000187678,0.000187678,0.000187678
96,97282.8,1.50619,0.72969,0.00623,0.80378,0.53912,0.62781,0.33159,1.72941,0.86562,0.0058,0.000160943,0.000160943,0.000160943
97,98149,1.50448,0.7293,0.00627,0.80364,0.53953,0.62798,0.33182,1.72932,0.86553,0.0058,0.000139032,0.000139032,0.000139032
98,99016.2,1.49666,0.7269,0.00621,0.80488,0.53869,0.62805,0.33198,1.72882,0.86588,0.0058,0.000121968,0.000121968,0.000121968
99,99883.2,1.50097,0.72768,0.00623,0.80489,0.53915,0.62828,0.3321,1.72821,0.86531,0.0058,0.000109768,0.000109768,0.000109768
100,100763,1.50765,0.72836,0.00627,0.80458,0.53932,0.62822,0.33209,1.72789,0.86527,0.0058,0.000102443,0.000102443,0.000102443
